title,release_date,popularity,genre_ids,vote_average
Good Boy,2022-06-03,82.633,"[27, 53]",6.503
"The Good, the Bad and the Ugly",1966-12-22,75.581,[37],8.468
X,2022-03-17,75.855,"[27, 53, 9648]",6.749
Dragon Ball Super: Super Hero,2022-06-11,81.428,"[16, 878, 28]",7.908
Blended,2014-05-21,61.294,"[35, 10749]",6.875
Shrek the Third,2007-05-17,61.778,"[14, 12, 16, 35, 10751]",6.29
Joker,2019-10-01,82.525,"[80, 53, 18]",8.164
Bullet Train,2022-08-03,64.293,"[28, 35, 53]",7.49
Frozen II,2019-11-20,79.263,"[10751, 16, 12, 35, 14]",7.261
Percy Jackson & the Olympians: The Lightning Thief,2010-02-01,71.997,"[12, 14, 10751]",6.218
The Twilight Saga: New Moon,2009-11-18,67.728,"[12, 14, 18, 10749]",5.995
Willy Wonka & the Chocolate Factory,1971-06-29,73.472,"[10751, 14, 35]",7.497
The Mother,2023-05-04,76.761,"[28, 53]",6.693
Mean Girls,2024-01-10,103.96,[35],6.629
Demon Slayer: Kimetsu no Yaiba Sibling's Bond,2019-03-29,82.184,"[28, 16, 14]",7.923
Bad Lands,2023-09-29,86.584,"[28, 80]",7.0
How to Train Your Dragon 2,2014-06-05,77.644,"[14, 28, 12, 16, 35, 10751]",7.67
Acid,2023-09-20,94.78,"[18, 14]",5.563
Kong: Skull Island,2017-03-08,76.832,"[28, 12, 14]",6.523
Morbius,2022-03-30,72.845,"[28, 878, 14]",6.07
Teenage Mutant Ninja Turtles,2014-08-07,88.978,"[878, 28, 12, 35]",5.908
Black Panther,2018-02-13,74.063,"[28, 12, 878]",7.385
El Roomie,2024-01-18,81.51,[35],6.25
It Boy,2013-03-06,97.047,[35],6.405
